컬럼명,상관계수
기준년월,8.217349343890619e-19
ID,0.0012180772411718
대표결제일,0.0036464453060713
대표결제방법코드,
대표청구지고객주소구분코드,0.0681830369946994
대표청구서수령지구분코드,-0.0180554342874765
청구서수령방법,-0.0259636003166304
청구서발송여부_B0,-0.2095340841379477
청구서발송여부_R3M,-0.1870362325351397
청구서발송여부_R6M,-0.153696863990795
청구금액_B0,-0.5779884214554094
청구금액_R3M,-0.5906781479033476
청구금액_R6M,-0.5979035305285397
포인트_마일리지_건별_B0M,-0.214917004370249
포인트_마일리지_건별_R3M,-0.2166430517514375
포인트_포인트_건별_B0M,-0.1445467624853129
포인트_포인트_건별_R3M,-0.1467265007237454
포인트_마일리지_월적립_B0M,-0.1755938092685357
포인트_마일리지_월적립_R3M,-0.1806337993124615
포인트_포인트_월적립_B0M,-0.1156051261671102
포인트_포인트_월적립_R3M,-0.1256697501413562
포인트_적립포인트_R12M,-0.175362099788318
포인트_적립포인트_R3M,-0.1732861254216804
포인트_이용포인트_R12M,-0.1432406849370834
포인트_이용포인트_R3M,-0.1701519296191654
포인트_잔여포인트_B0M,0.0025840550744786
마일_적립포인트_R12M,-0.2137065747067782
마일_적립포인트_R3M,-0.2761831941931742
마일_이용포인트_R12M,-0.2120082980032319
마일_이용포인트_R3M,-0.2131419608584382
마일_잔여포인트_B0M,-0.1835461717768189
할인건수_R3M,0.0593168065287394
할인금액_R3M,-0.185651847100424
할인건수_B0M,0.0919731317864861
할인금액_B0M,-0.180181492098373
할인금액_청구서_R3M,-0.2027028490186773
할인금액_청구서_B0M,-0.196683389689545
상환개월수_결제일_R6M,-0.149048482395313
상환개월수_결제일_R3M,-0.1334153822672461
선결제건수_R6M,-0.1588748813530144
선결제건수_R3M,-0.1473905796759314
연체건수_R6M,-0.0605036673262756
연체건수_R3M,-0.054813925331241
혜택수혜금액_R3M,-0.3557537388273618
포인트_마일리지_환산_B0M,-0.2813062305708352
혜택수혜금액,-0.3508568974923003
