,0
Segment,1.0
이용금액_R3M_신용체크,-0.6228267223701383
청구금액_R6M,-0.5979035305285242
청구금액_R3M,-0.5906781479033358
이용금액_R3M_신용,-0.5890315695080159
청구금액_B0,-0.5779884214553952
_1순위카드이용금액,-0.5738702056561666
평잔_일시불_6M,-0.44796698423325704
월중평잔_일시불_B0M,-0.4446212941710437
월중평잔_일시불,-0.44152681394022353
평잔_일시불_3M,-0.4345136232367908
잔액_일시불_B0M,-0.4173536659691842
_2순위카드이용금액,-0.4002249659115162
이용카드수_신용체크,-0.39771266172825126
_1순위카드이용건수,-0.38360924990396006
이용카드수_신용,-0.37691849102910474
_2순위카드이용건수,-0.37649424479564814
잔액_일시불_B1M,-0.37424367572741585
잔액_일시불_B2M,-0.3734944904770359
혜택수혜금액_R3M,-0.3557537388273519
이용가능카드수_신용,-0.3530141527925674
이용가능카드수_신용체크,-0.3522114955575154
혜택수혜금액,-0.3508568974922918
유효카드수_신용,-0.34292503884387787
유효카드수_신용체크,-0.3397229771544793
소지카드수_유효_신용,-0.3366334291393408
소지카드수_이용가능_신용,-0.3230964114246725
평잔_일시불_해외_6M,-0.31275557089228045
카드이용한도금액,-0.3044353264927112
카드이용한도금액_B1M,-0.30326153924930527
카드이용한도금액_B2M,-0.30325792288208747
평잔_일시불_해외_3M,-0.29283400519200026
CA한도금액,-0.2925020332870732
월중평잔,-0.28728877031969036
평잔_6M,-0.28149736568505285
포인트_마일리지_환산_B0M,-0.28130623057082976
마일_적립포인트_R3M,-0.2761831941931664
평잔_CA_6M,-0.27391352200590363
평잔_3M,-0.26847205973796356
평잔_CA_3M,-0.2676521207361312
월중평잔_CA,-0.2663202879454546
잔액_현금서비스_B2M,-0.2654865661272464
잔액_현금서비스_B0M,-0.26501082291851136
잔액_현금서비스_B1M,-0.2647443377610474
잔액_할부_B0M,-0.2642918087811732
월중평잔_CA_B0M,-0.2640757245740146
입회일자_신용,0.25228948631251635
입회경과개월수_신용,-0.2522402194567967
평잔_할부_6M,-0.2503123702867264
잔액_할부_무이자_B0M,-0.24977599066331427
이용금액_R3M_신용_가족,-0.23556415080632356
월중평잔_할부_B0M,-0.23487880717552154
평잔_할부_3M,-0.23332784477138405
월중평잔_할부,-0.23208520003903682
이용여부_3M_해외겸용_본인,-0.23105558713882673
잔액_할부_B1M,-0.22853732469900115
잔액_할부_B2M,-0.22841097332135674
이용여부_3M_해외겸용_신용_본인,-0.22443868627581126
포인트_마일리지_건별_R3M,-0.2166430517514331
포인트_마일리지_건별_B0M,-0.21491700437024253
이용카드수_신용_가족,-0.21479187469919134
마일_적립포인트_R12M,-0.2137065747067744
유효카드수_신용_가족,-0.21314542412373969
마일_이용포인트_R3M,-0.2131419608584334
이용가능카드수_신용_가족,-0.21309312238409328
마일_이용포인트_R12M,-0.21200829800322654
이용금액_R3M_체크,-0.20992579964404687
청구서발송여부_B0,-0.2095340841379447
할인금액_청구서_R3M,-0.20270284901867375
할인금액_청구서_B0M,-0.1966833896895407
청구서발송여부_R3M,-0.1870362325351348
할인금액_R3M,-0.185651847100418
마일_잔여포인트_B0M,-0.1835461717768156
포인트_마일리지_월적립_R3M,-0.18063379931245724
할인금액_B0M,-0.1801814920983689
포인트_마일리지_월적립_B0M,-0.17559380926853058
포인트_적립포인트_R12M,-0.17536209978831296
포인트_적립포인트_R3M,-0.17328612542167565
이용가능여부_해외겸용_신용_본인,-0.17092389401014563
포인트_이용포인트_R3M,-0.1701519296191613
이용가능여부_해외겸용_본인,-0.1591982242857916
선결제건수_R6M,-0.15887488135300964
이용카드수_체크,-0.15591469638198518
청구서발송여부_R6M,-0.15369686399079044
상환개월수_결제일_R6M,-0.14904848239530535
보유여부_해외겸용_신용_본인,-0.1486439880132622
선결제건수_R3M,-0.1473905796759268
유효카드수_체크,-0.14736759164345153
이용가능카드수_체크,-0.14699793341806858
포인트_포인트_건별_R3M,-0.14672650072374271
잔액_할부_유이자_B0M,-0.14606215158658822
포인트_포인트_건별_B0M,-0.1445467624853094
보유여부_해외겸용_본인,-0.14359280988609674
포인트_이용포인트_R12M,-0.14324068493707892
상환개월수_결제일_R3M,-0.13341538226724373
포인트_포인트_월적립_R3M,-0.12566975014135287
평잔_RV일시불_해외_6M,-0.12170855215693976
평잔_RV일시불_6M,-0.12048935943006245
월중평잔_RV일시불,-0.12021004249801917
CA이자율_할인전,-0.11818937435182827
평잔_RV일시불_해외_3M,-0.11766430367094378
평잔_RV일시불_3M,-0.11715954134195222
포인트_포인트_월적립_B0M,-0.11560512616710676
최초한도금액,-0.10706876764956781
수신거부여부_TM,-0.10651883280514793
수신거부여부_메일,-0.10626027396592082
수신거부여부_DM,-0.10462406887282305
RV현금서비스이자율_할인전,-0.09687040045315275
수신거부여부_SMS,-0.0945102065314558
일시상환론한도금액,-0.0941966869638428
할인건수_B0M,0.09197313178648434
회원여부_이용가능_CA,-0.08753579510294135
한도증액금액_R12M,-0.08418014927624573
회원여부_이용가능,-0.08329847730898846
RV_최대잔액_R12M,-0.07593411250220235
RV일시불이자율_할인전,-0.07383819901138383
RV_최대잔액_R6M,-0.07283094685407161
RV_최대잔액_R3M,-0.07141416910628116
rv최초시작후경과일,0.07015499489026955
잔액_리볼빙일시불이월_B0M,-0.06967905821130323
탈회횟수_누적,0.0687439891146872
대표청구지고객주소구분코드,0.06818303699470357
RV_평균잔액_R3M,-0.06666885893980692
상향가능CA한도금액,-0.06457483359863786
RV_평균잔액_R6M,-0.0638375887598598
RV_평균잔액_R12M,-0.06160224075085895
한도증액횟수_R12M,-0.06072403544620138
연체건수_R6M,-0.06050366732627476
남녀구분코드,0.060323134097903686
할인건수_R3M,0.05931680652873813
소지여부_신용,-0.056723797966525234
연체건수_R3M,-0.05481392533123942
RV약정청구율,-0.054575462272664195
잔액_카드론_B5M,-0.05139284259107351
상향가능한도금액,-0.05076395675222576
월상환론한도금액,-0.0502716242080961
동의여부_한도증액안내,-0.04947215622607402
잔액_카드론_B4M,-0.04890306353246265
마케팅동의여부,0.04771004061562428
Life_Stage,-0.04711774038159438
잔액_카드론_B3M,-0.04686581874734018
잔액_카드론_B0M,-0.04538442940637628
잔액_카드론_B2M,-0.045237924868667144
강제한도감액후경과월,-0.04460054940653149
잔액_카드론_B1M,-0.04370648867784492
최종연체회차,-0.043514911560552615
월중평잔_카드론,-0.04212316980613705
평잔_카드론_6M,-0.04205891612944181
연체일수_최근,0.04194225186968113
한도증액후경과월,0.039390484988392004
카드신청건수,0.03892222539641
평잔_카드론_3M,-0.037649216684504785
강제한도감액금액_R12M,0.0374378410763835
CL이자율_할인전,-0.03726601878907999
이용거절여부_카드론,0.03640003667177031
카드론동의여부,-0.03640003667177029
연체일수_B2M,-0.03523933248371107
탈회횟수_발급1년이내,0.03235308334251687
연령,0.03178216492646999
RV최소결제비율,-0.03168041845967175
거주시도명,0.02840843760797531
연체일수_B1M,-0.028254906939181507
회원여부_연체,-0.027846687221294956
평잔_할부_해외_6M,-0.02745744537826007
청구서수령방법,-0.02596360031662974
최종카드발급경과월,-0.022261385076843804
평잔_할부_해외_3M,-0.02039533741856193
제휴연회비_B0M,-0.019886007118220212
청구금액_제휴연회비_B0M,-0.019886007118220212
일시불ONLY전환가능여부,0.01920487444211116
대표청구서수령지구분코드,-0.018055434287476264
탈회횟수_발급6개월이내,0.015520273738128629
연체감액여부_R3M,-0.013670322875449628
회원여부_이용가능_카드론,0.013647675365246534
연체원금_B2M,-0.01171649614146294
평잔_CA_해외_6M,-0.011692618091522578
연체원금_B1M,-0.011436702506742526
월상환론상향가능한도금액,0.011387778075548659
청구금액_기본연회비_B0M,0.010116823582319487
기본연회비_B0M,0.010116823582319487
연체원금_최근,-0.010027001688162748
잔액_할부_해외_B0M,-0.008217860450092138
연체잔액_CA_B0M,-0.007851868701446886
연체잔액_할부_B0M,-0.00664531239746812
연체잔액_일시불_B0M,-0.006421010782523873
자발한도감액금액_R12M,-0.006140815514961583
평잔_CA_해외_3M,-0.005996236265812876
자발한도감액횟수_R12M,-0.005818288702618276
연회비발생카드수_B0M,-0.005661269916184151
연체잔액_B0M,-0.00479620989386795
유효카드수_체크_가족,-0.004450207128197715
강제한도감액횟수_R12M,0.003853305734035132
RV전환가능여부,0.0037081481518767877
대표결제일,0.003646445306071305
연체잔액_현금서비스_B0M,-0.002996265835006673
특별한도보유여부_R3M,0.002992226892778083
포인트_잔여포인트_B0M,0.0025840550744787886
자발한도감액후경과월,0.002105123060167504
한도심사요청건수,-0.001884150154409102
최종탈회후경과월,0.001823104835178868
한도요청거절건수,-0.0017370188690622747
한도심사거절후경과월,0.0017236743774804548
잔액_리볼빙CA이월_B0M,-0.0015975951152284577
시장단기연체여부_R6M,0.001307752866442157
ID,0.0012180772411718426
한도심사요청후경과월,0.0012119402354959469
이용가능카드수_체크_가족,-0.0011371760924935499
시장단기연체여부_R3M,0.0010717720967477425
연체잔액_대환론_B0M,0.0007311298744230174
연체잔액_RV일시불_B0M,-0.000553496341224904
매각잔액_B1M,0.00029849656264288366
시장연체상환여부_R6M,0.00029849656264268454
연체잔액_카드론_B0M,-0.00024695888841744077
기준년월,-1.3463810848066594e-18
