컬럼명,상관계수
정상청구원금_B5M,-0.6607379821057693
정상청구원금_B0M,-0.6345706679431271
정상청구원금_B2M,-0.6280775535455043
이용금액_일시불_R12M,-0.5958583054234962
이용금액_일시불_B0M,-0.5750322549936023
이용금액_일시불_R6M,-0.5688925744497341
이용금액_일시불_R3M,-0.5673572516883265
이용금액_오프라인_B0M,-0.5661855103553869
정상입금원금_B5M,-0.5512283234214959
정상입금원금_B0M,-0.5492800963732852
이용금액_오프라인_R3M,-0.5398267779570733
이용금액_오프라인_R6M,-0.5387748925787359
정상입금원금_B2M,-0.536208406741319
_3순위업종_이용금액,-0.5042680473193732
_2순위업종_이용금액,-0.49220913307951986
_2순위쇼핑업종_이용금액,-0.4873637290132293
최대이용금액_일시불_R12M,-0.48614450424422484
이용건수_신용_R12M,-0.4807324811171971
이용건수_신판_R12M,-0.47683335274684735
이용건수_일시불_R12M,-0.4723617705922348
_1순위업종_이용금액,-0.4680985866677102
_3순위쇼핑업종_이용금액,-0.4641385628924265
이용건수_오프라인_B0M,-0.45895870873514805
이용가맹점수,-0.45655270344123117
쇼핑_도소매_이용금액,-0.45209736191289607
이용건수_오프라인_R6M,-0.45023215707698694
이용건수_오프라인_R3M,-0.44933611749437957
이용건수_신용_B0M,-0.43667736888492825
이용건수_신용_R6M,-0.4365281673128217
이용건수_신용_R3M,-0.4336376226633488
이용건수_신판_R6M,-0.43273699209069233
이용건수_신판_B0M,-0.43254795027039405
이용건수_신판_R3M,-0.4297484230862735
이용건수_일시불_B0M,-0.42950313442569
이용건수_일시불_R6M,-0.4290959501145073
이용건수_일시불_R3M,-0.4267147248350454
_1순위교통업종_이용금액,-0.40852775229517535
연체입금원금_B0M,-0.40366497162579285
쇼핑_마트_이용금액,-0.3950074789106035
쇼핑_슈퍼마켓_이용금액,-0.3909899453485739
이용금액_온라인_B0M,-0.38950425074264283
교통_주유이용금액,-0.3877562079143085
연체입금원금_B2M,-0.38522236085126116
연체입금원금_B5M,-0.384409216407889
이용금액_페이_온라인_B0M,-0.3788868524085662
_1순위쇼핑업종_이용금액,-0.3756793456731585
이용건수_온라인_R6M,-0.36722454684108463
이용금액_페이_온라인_R3M,-0.364122264450955
이용금액_간편결제_B0M,-0.36304522981762355
이용건수_온라인_R3M,-0.3625399327003406
이용금액_페이_온라인_R6M,-0.3583087469783537
연속유실적개월수_기본_24M_카드,-0.35733979884954886
이용건수_온라인_B0M,-0.3563812082476052
이용금액_온라인_R3M,-0.35472844045653423
이용금액_할부_R12M,-0.35356844203350113
쇼핑_온라인_이용금액,-0.3531852140349446
이용금액_온라인_R6M,-0.3514232918170828
_2순위교통업종_이용금액,-0.3503929233449467
이용금액_할부_무이자_R12M,-0.3474041410766598
이용금액_간편결제_R3M,-0.3408667245401461
이용건수_간편결제_R6M,-0.3389930835383667
이용건수_페이_온라인_R6M,-0.33864465447810127
교통_정비이용금액,-0.3385757539048638
할부금액_3M_R12M,-0.3349495217528212
이용건수_간편결제_R3M,-0.3333314101532988
최대이용금액_할부_무이자_R12M,-0.3329578861580904
최대이용금액_할부_R12M,-0.3329174090181529
이용금액_간편결제_R6M,-0.331894830740438
이용건수_페이_온라인_R3M,-0.32973692706074914
이용건수_간편결제_B0M,-0.327694555640122
_3순위교통업종_이용금액,-0.3275021131916303
쇼핑_편의점_이용금액,-0.3265432687292665
이용건수_페이_온라인_B0M,-0.3246197996405531
할부금액_무이자_3M_R12M,-0.32340046393674265
이용개월수_온라인_R6M,-0.32124239038320274
이용개월수_페이_온라인_R6M,-0.31847382387518863
납부_기타이용금액,-0.31426997969332876
이용개월수_간편결제_R6M,-0.3134975051443444
최대이용금액_CA_R12M,-0.3064497287097535
할부금액_6M_R12M,-0.29583138591762437
쇼핑_기타_이용금액,-0.2952484760275894
이용금액_해외,-0.2942694844819367
이용개월수_할부_무이자_R12M,-0.2930265682473014
이용금액_할부_무이자_R6M,-0.291934064301165
이용개월수_할부_R12M,-0.2904966443324644
이용건수_할부_R12M,-0.28950004098819965
이용금액_할부_R6M,-0.28939949022481387
이용건수_할부_무이자_R12M,-0.2860507047475664
_1순위여유업종_이용금액,-0.2854659245629885
이용금액_CA_R12M,-0.2839196969878921
할부건수_3M_R12M,-0.2814733642945408
쇼핑_백화점_이용금액,-0.27976975983405084
할부건수_무이자_3M_R12M,-0.27945109614743374
할부금액_무이자_6M_R12M,-0.2793840990181664
이용건수_CA_R12M,-0.27849070572210927
이용금액_CA_R6M,-0.27553951265565846
이용개월수_신용_R12M,-0.2752504606338615
이용개월수_신판_R12M,-0.272852399564408
이용개월수_일시불_R12M,-0.27140246029738135
이용개월수_CA_R12M,-0.2708806106851693
이용금액_CA_R3M,-0.26734335747701155
이용금액_CA_B0M,-0.26273053033257787
이용건수_할부_R6M,-0.25743723437097094
이용후경과월_할부_무이자,0.2566186316536314
이용개월수_할부_R6M,-0.255659595917704
이용금액_할부_무이자_R3M,-0.25517235375300473
이용개월수_할부_무이자_R6M,-0.25503617681319213
이용건수_할부_무이자_R6M,-0.2543816796073435
교통_택시이용금액,-0.2536120580036345
이용금액_할부_R3M,-0.25223910449687464
이용후경과월_할부,0.2517502456490694
이용건수_CA_R6M,-0.24786476771699467
여유_운동이용금액,-0.2459435456365306
이용개월수_CA_R6M,-0.24465994640978922
이용건수_할부_R3M,-0.24269393131075054
이용건수_할부_무이자_R3M,-0.241911772498166
이용개월수_할부_R3M,-0.23981337701305983
이용개월수_할부_무이자_R3M,-0.2378342019713042
할부건수_6M_R12M,-0.23750178627438287
